course_code,course_name,professor,is_online
RGC1014-05,지혜와자비명작세미나,김성옥,False
RGC1014-06,지혜와자비명작세미나,김은영,False
RGC1014-07,지혜와자비명작세미나,전효진,False
RGC1014-08,지혜와자비명작세미나,김성옥,False
RGC1014-09,지혜와자비명작세미나,이범수,False
RGC1014-10,지혜와자비명작세미나,전효진,False
RGC1014-11,지혜와자비명작세미나,김성옥,False
RGC1014-12,지혜와자비명작세미나,이범수,False
RGC1014-13,지혜와자비명작세미나,김호귀,False
RGC1014-14,지혜와자비명작세미나,전민지,False
RGC1014-15,지혜와자비명작세미나,김호귀,False
RGC1014-16,지혜와자비명작세미나,전민지,False
RGC1014-17,지혜와자비명작세미나,장미란,False
