course_id,days,start_time,end_time,classroom
193,월,12:30,14:00,102-344(학술/문화관 K344 344 강의실)
193,수,12:00,13:30,102-344(학술/문화관 K344 344 강의실)
194,화,16:00,17:30,102-243(학술/문화관 K243 243 강의실_스마트)
194,목,16:30,18:00,102-243(학술/문화관 K243 243 강의실_스마트)
195,화,12:00,13:30,102-342(학술/문화관 K342 342 강의실)
195,목,12:00,13:30,102-342(학술/문화관 K342 342 강의실)
196,화,12:00,15:00,501-304(학림관 J311 강의실)
197,화,09:00,10:30,102-342(학술/문화관 K342 342 강의실)
197,목,10:30,12:00,102-342(학술/문화관 K342 342 강의실)
198,화,16:00,17:30,102-315(학술/문화관 K315 315 강의실)
198,목,16:30,18:00,102-315(학술/문화관 K315 315 강의실)
199,월,16:30,18:00,102-315(학술/문화관 K315 315 강의실)
199,수,14:00,15:30,102-315(학술/문화관 K315 315 강의실)
200,화,12:00,13:30,307-236(명진관 A236 강의실)
200,목,12:00,13:30,307-236(명진관 A236 강의실)
201,월,12:00,13:30,201-222(사회과학/경영관 M215 강의실)
201,수,11:00,12:30,201-222(사회과학/경영관 M215 강의실)
202,화,12:00,13:30,201-222(사회과학/경영관 M215 강의실)
202,목,12:00,13:30,201-222(사회과학/경영관 M215 강의실)
203,화,12:00,13:30,501-231(학림관 J201 강의실)
203,목,12:00,13:30,501-231(학림관 J201 강의실)
204,월,15:00,16:30,407-B108(정보문화관P P203 강의실)
204,수,15:30,17:00,407-B108(정보문화관P P203 강의실)
205,수,09:00,12:00,407-105(정보문화관P P301 정보 PBL)
206,화,15:00,18:00,1104-230(상영바이오관 230 허담 강의실)
207,화,16:00,18:00,201-222(사회과학/경영관 M215 강의실)
208,수,14:00,16:00,102-443(학술/문화관 K443 443 강의실)
209,목,16:00,18:00,201-226(사회과학/경영관 M216 강의실)
210,금,14:00,16:00,201-222(사회과학/경영관 M215 강의실)
215,수,12:30,14:00,102-315(학술/문화관 K315 315 강의실)
215,금,12:00,13:30,102-315(학술/문화관 K315 315 강의실)
216,화,14:00,15:30,207-512(혜화관 512 512 강의실)
216,금,14:00,15:30,303-208(법학/만해관 B262 좌선실)
217,화,15:00,16:30,303-156(법학/만해관 B161 강의실(모의법정))
217,목,15:00,16:30,303-156(법학/만해관 B161 강의실(모의법정))
219,월,12:00,13:30,202-387(사회과학/경영관 L305 강의실)
219,수,11:00,12:30,202-387(사회과학/경영관 L305 강의실)
220,월,16:30,18:00,202-387(사회과학/경영관 L305 강의실)
220,수,14:00,15:30,202-387(사회과학/경영관 L305 강의실)
221,화,12:00,13:30,202-387(사회과학/경영관 L305 강의실)
221,목,12:00,13:30,202-387(사회과학/경영관 L305 강의실)
222,화,16:00,17:30,202-387(사회과학/경영관 L305 강의실)
222,목,16:30,18:00,202-387(사회과학/경영관 L305 강의실)
224,화,10:30,12:00,201-122(사회과학/경영관 M122 강의실)
224,목,10:30,12:00,201-122(사회과학/경영관 M122 강의실)
225,목,10:30,13:30,201-117(사회과학/경영관 M117 강의실)
226,화,10:00,12:00,501-109(학림관 J111 강의실_스마트)
227,수,12:30,15:30,102-357(학술/문화관 K357 357 강의실)
229,화,16:00,17:30,501-316(학림관 J315 강의실)
229,목,16:30,18:00,501-316(학림관 J315 강의실)
